Chapter,Character,Dialogue,Character Count
B-1,ラズ,「何です？」,4
B-1,ロズ,「マスター、デレデレしとった」,13
B-1,ラズ,「‥‥なるほど」,6
B-1,ラズ,「少々、見極める必要がありますわね。常葉、美寿花‥‥」,25
B-2,美寿花,「‥‥本当に大丈夫なの？　何か、今すぐにでも倒れそうだけど‥‥」,29
B-2,美寿花,「‥‥ちょ、一旦休憩。水飲もう水」,15
B-2,美寿花,「肌白いなぁ、外とかあまり出ないんだろうなぁ、とか思ってたけど、想像以上に運動不足だね君」,43
B-2,美寿花,「誘うにしても、もうちょっと段階踏んだ方がよかったね‥‥やっぱり戻る？　まだ時間に余裕あるし‥‥」,46
B-2,？？？,「それはやめた方がいいと思いますわ」,16
B-2,美寿花,「え？」,2
B-2,？？？,「学校までの距離の残り半分を切っておりますので、今帰ってしまうよりかは大学に行ってしまわれた方がよろしいかと」,53
B-2,美寿花,「えっ、何今の声！？」,9
B-2,ラズ,「あなたが美寿花、ですね？」,12
B-2,ラズ,「お初にお目にかかります。私、ラズと申します。雪翔様がお世話になっているようで‥‥」,40
B-2,美寿花,「スマホが、喋ってる‥‥」,11
B-2,美寿花,「あ、え〜と常葉美寿花です。あなたは‥‥」,19
B-2,ラズ,「‥‥ラズ、とさっき申し上げたはずですが‥‥」,21
B-2,ラズ,「ああ、そういうことですか。私は‥‥」,17
B-2,ロズ,「あっずるっ！！　二人で驚かせよういう話やったやん！！　なんで一人で話してんの！？」,38
B-2,美寿花,「えっ、関西弁‥‥」,8
B-2,ラズ,「‥‥人が喋っているときに被せるのはいかがなものでしょう？」,28
B-2,ロズ,「それを言うなら抜け駆けしたんはそっちやん。お互い様やで？」,28
B-2,ラズ,「あら、私はご主人様を助けるために出ていっただけのこと。　そもそも貴方の話に賛同した覚えはありませんし」,49
B-2,ロズ,「はぁ～？」,4
B-2,美寿花,「え、ちょ‥‥」,6
B-2,ロズ＆ラズ,「マスターは黙っとって！！」,12
B-2,ラズ,「あらいやですわ。喧嘩なんてはしたない真似するはずないでしょう？　ねぇ、ロズ」,36
B-2,ロズ,「せやせや。なんてったってウチらAIやで？　ちゃあんと失敗から学んでるんやから」,37
B-2,美寿花,「‥‥‥‥」,4
B-2,美寿花,「‥‥説明、よろしく」,9
B-2,美寿花,「じゃあ、雪翔君にとっては兄妹？　みたいなものなんだ‥‥」,26
B-2,美寿花,「あはは‥‥それはそうかも」,12
B-2,美寿花,「にしても、しゃべるAIかぁ‥‥私初めて見た」,21
B-2,美寿花,「‥‥でも、何で関西弁とお嬢様口調？」,17
B-2,ラズ,「そういえば、ご主人様方は今登校中では？　私たちが出てきてからずいぶん時間が経っていますが‥‥」,45
B-2,美寿花,「え？」,2
B-2,ロズ,「はよいかな遅刻するで？」,11
B-2,美寿花,「ちょっと辛いだろうけど‥‥急げる？」,17
B-3（追加修正）,美寿花,「‥‥‥‥」,4
B-3（追加修正）,美寿花,「気持ちいいお目覚めだね、少年君？」,16
B-3（追加修正）,美寿花,「‥‥確かに退屈だけど、開始10分で寝るのはさすがに関心しないなぁ‥‥」,34
B-3（追加修正）,美寿花,「そりゃ、寝るなとは言わないけどさ‥‥せめてもう少し我慢しよ？　ね？」,32
B-3（追加修正）,美寿花,「結局、最後までぐっすりだったね‥‥」,17
B-3（追加修正）,美寿花,「そっか‥‥雪翔君って、長い間ほぼ一人で生活してきたんだよね？」,30
B-3（追加修正）,美寿花,「そのせいで、ずーっと人の話を聞いてると眠くなっちゃうんじゃないかな？　多分だけど」,39
B-3（追加修正）,美寿花,「あーいや、大丈夫大丈夫！　あくまで今はだよ？　慣れれば話せるようになるって！！」,37
B-3（追加修正）,美寿花,「って、もう次の講義始まっちゃう！　早く行くよ雪翔君！」,25
B-4（追加）,美寿花,「久しぶりの学校、大変だったね」,14
B-4（追加）,美寿花,「でも、ちょっと意外だったな～。少年君、絶対途中で諦めて帰っちゃうと思ってたし」,38
B-4（追加）,美寿花,「‥‥やっぱり、ちょっと無理してる？」,17
B-4（追加）,美寿花,「雪翔君」,3
B-4（追加）,美寿花,「今日は本当に‥‥お疲れ様」,12
B-4（追加）,美寿花,「‥‥私ね？　今まで行けなかった所に行くのって、結構勇気がないとできない行動だと思うんだ」,42
B-4（追加）,美寿花,「でも、今日の雪翔君はそれができた」,16
B-4（追加）,美寿花,「一歩前進、だね？」,8
B-4（追加）,美寿花,「さ、夕飯買いに行かなきゃ。今日は頑張るぞ〜！　あ、雪翔君も荷物持つの手伝ってね！」,39
B-4（追加）,美寿花,「？　どうしたの？　雪翔君」,10
B-4（追加）,美寿花,「そういえばさ‥‥」,8
B-4（追加）,美寿花,「‥‥あ、ごめん‥‥話しかけてよかった？」,19
B-4（追加）,美寿花,「いや、大した話じゃないんだけど‥‥これ、すっごい地道だよね」,29
B-4（追加）,美寿花,「そりゃ、そうかもしれないけど‥‥というか、曲を作るのっていつからやり始めたの？」,39
B-4（追加）,美寿花,「‥‥うん。大まかに、だけど。‥‥その、ごめんね？　別に無理に話さなくても‥‥」,37
B-4（追加）,美寿花,「曲を作るのは‥‥お母さんのため？」,16
B-4（追加）,美寿花,「雪翔君は‥‥すごいね」,10
B-4（追加）,美寿花,「そろそろ寝る？」,7
B-4（追加）,美寿花,「結構集中してたね。今日」,11
B-4（追加）,美寿花,「あれ、違った？　昨日は所々詰まったりとかして、今日みたいに長くは続いてなかったと思うけど‥‥」,45
B-4（追加）,美寿花,「そうなんだ‥‥あ、もしかして今日はきちんと早起きしたから、とか？」,32
B-4（追加）,美寿花,「それは分からないけど‥‥夜更かしして、起きたらお昼だった、とかはしたことないし」,39
B-4（追加）,美寿花,「ところで‥‥雪翔君」,9
B-4（追加）,美寿花,「明日ってどうするの？　学校」,12
B-4（追加）,美寿花,「うわすっごい嫌そう」,9
B-4（追加）,美寿花,「あ〜えーと‥‥あ、ほら！　明日はお昼休みあるし、お弁当作るからさ！」,32
B-4（追加）,美寿花,「あとは‥‥終わった後、一緒にどこか行こうよ！　ね！」,24
B-4（追加）,美寿花,「やった！」,4
B-4（追加）,美寿花,「サクシ？」,4
B-4（追加）,美寿花,「じゃあ私はもう寝るけど、雪翔君も早めに寝なよ？　夜更かししちゃ駄目だからね？」,37
C-1（追加修正）,美寿花,「さてさて、準備もできたことだし‥‥あ、手洗ったよね？」,26
C-1（追加修正）,美寿花,「それじゃ、雪翔君！」,9
C-1（追加修正）,美寿花,「いや、きょとんじゃなくて、あるでしょ？　食べる前にする挨拶」,28
C-1（追加修正）,美寿花,「どうぞどうぞ！」,7
C-1（追加修正）,美寿花,「雪翔君？　食べないの？」,10
C-1（追加修正）,美寿花,「どうかな。味見したから大丈夫なはずだけど‥‥」,22
C-1（追加修正）,美寿花,「めっちゃ頷くじゃん‥‥よかったぁ。あ、私も食べるね！」,26
C-1（追加修正）,美寿花,「さて、雪翔君。終わった後のことなんだけど‥‥」,22
C-1（追加修正）,美寿花,「ほら、昨日話したじゃん。講義が終わったら一緒にどこか出かけようって」,33
C-1（追加修正）,美寿花,「でね、その事なんだけど‥‥」,13
C-1（追加修正）,美寿花,「雪翔君の行きたいとこに行ってみたいなぁーって‥‥」,24
C-1（追加修正）,美寿花,「考えてみたんだけど、雪翔君が学校に行き始めたのって、私が言い出したからだよね」,38
C-1（追加修正）,美寿花,「なら、今度は私の番かなーって」,14
C-1（追加修正）,美寿花,「だから、今度は雪翔君が行きたい所に私を連れてって欲しいなーって」,31
C-1（追加修正）,美寿花,「遠慮しなくていいから！」,11
C-1（追加修正）,美寿花,「ほら、なんていうか‥‥雪翔君の場合、声のこともあるし一人で行けない場所とか多いと思うんだよ」,45
C-1（追加修正）,美寿花,「でも今は私もいるし、これまで行くの諦めてた場所があるなら一緒に行きたいなと思って」,40
C-1（追加修正）,美寿花,「私？　私は──」,6
C-1（追加修正）,美寿花,「‥‥‥‥確かに、言われてみるとすぐ思いつかないねこれ」,26
C-1（追加修正）,美寿花,「強いて言うなら、近くにある水族館かな？　一人じゃ結構ハードル高いし」,32
C-1（追加修正）,美寿花,「そうだねぇ‥‥って、今は雪翔君だよ。まぁ、何もないなら無理に言わなくてもいいけど‥‥」,42
C-1（追加修正）,美寿花,「カラオケ？」,5
C-1（追加修正）,美寿花,「歌、かぁ‥‥うん」,8
C-1（追加修正）,美寿花,「じゃあそうしよう！　ちょうどいいし！」,17
C-1（追加修正）,美寿花,「気にしない気にしない。あ、でもさすがに私一人で歌うのもあれだし‥‥そうだ！」,37
C-1（追加修正）,美寿花,「さて、返事するかな‥‥？」,12
C-2（追加修正）,美寿花,「なんだかんだで私も初めてなんだよねぇ～カラオケ！」,24
C-2（追加修正）,美寿花,「二人とも、なんでそこでボーっとしてるの？」,20
C-2（追加修正）,文永,「はぁ。そりゃボーっともするよ」,14
C-2（追加修正）,文永,「家出したはずの姉に突然来いって言われて、何かと思えばカラオケに連れていかれたらさ」,40
C-2（追加修正）,美寿花,「ごめんごめん。文永もそういえば歌うの好きだったなーって思い出して‥‥」,34
C-2（追加修正）,文永,「つまり数合わせで呼んだ、と‥‥」,15
C-2（追加修正）,美寿花,「そう言われると確かにそうだけど‥‥」,17
C-2（追加修正）,美寿花,「こ、この子の事、まだ紹介してなかったよね！」,21
C-2（追加修正）,文永,「逃げた‥‥まぁいいけどさ」,12
C-2（追加修正）,美寿花,「常葉文永、私の妹だよ」,10
C-2（追加修正）,文永,「初めまして、雪翔さん。いつも姉がお世話になっています」,26
C-2（追加修正）,文永,「あ、すいません。いきなり名前で呼んでしまって‥‥姉がよく名前を口にしていたのでつい‥‥」,43
C-2（追加修正）,美寿花,「まぁまぁ、まず二人とも座ろうよ。時間なくなっちゃうよ？」,27
C-2（追加修正）,文永,「って、普通に流しちゃったけど私も歌うの？」,20
C-2（追加修正）,美寿花,「そうだよ？　というか、そのために呼んだんだから」,22
C-2（追加修正）,文永,「いや、初対面の人と歌うのはさすがに抵抗あるんだけど‥‥？」,28
C-2（追加修正）,美寿花,「まぁ、たまにでいいよ。私も歌うし」,16
C-2（追加修正）,美寿花,「さて少年君、何から歌う？」,12
C-2（追加修正）,美寿花,「練習だよ、君の‥‥『自分の声で歌いたい』って目標のための」,28
C-2（追加修正）,美寿花,「って言っても、今の雪翔君が一人で歌うのは難しそうだから‥‥」,29
C-2（追加修正）,美寿花,「『一緒に』歌お？　それなら、私に届くから」,19
C-2（追加修正）,文永,「‥‥お姉ちゃんが男とイチャイチャしてる」,19
C-2（追加修正）,美寿花,「してないよ！？　どこをどう見たらそうなるのさ！？」,23
C-2（追加修正）,文永,「やっぱり私、来なかった方がよかったんじゃ‥‥」,22
C-2（追加修正）,美寿花,「待って帰ろうとしないで！　文永とも一緒に歌うから～！！」,26
C-3（追加）,文永,「ふぅー‥‥」,5
C-3（追加）,美寿花,「おお～」,3
C-3（追加）,文永,「次、雪翔さんですけど‥‥あれ、始まりませんね」,22
C-3（追加）,美寿花,「もしかして雪翔君、何歌うか迷ってる？」,18
C-3（追加）,ラズ,「分かってませんわね‥‥ご主人様にはこの『World of Twilight』（エンディング）の方がピッタリです！」,54
C-3（追加）,ロズ,「だーかーらー、なんでカラオケに来てまでそんな暗い曲歌わなあかんねん！　絶対『CreydoZ』（オープニング）の方がええって！！」,62
C-3（追加）,ラズ,「暗いとは何です暗いとは！！　切なく、美しい‥‥素晴らしい曲じゃないですの！」,36
C-3（追加）,ロズ,「ハッ、ランキングよぅ見てみぃ！！　オープニングの方が圧倒的に多く歌われとるで！？」,39
C-3（追加）,ラズ,「雪翔様はカラオケに日常的に来るような陽の者ではないのです。したがってそんなランキング、当てにはなりませんわよ」,54
C-3（追加）,文永,「えっ！？　だ、誰！？」,9
C-3（追加）,文永,「えっ今のってお姉ちゃん‥‥じゃ、ないよね？」,21
C-3（追加）,美寿花,「うーん、私も昨日知ったんだけどね。この子たちは‥‥」,25
C-3（追加）,文永,「ああ、なるほど‥‥」,9
C-3（追加）,美寿花,「ほら二人とも。そんなので喧嘩しないの」,18
C-3（追加）,ラズ,「常葉美寿花‥‥あなたに言われる筋合いはありません！」,25
C-3（追加）,ロズ,「せやせや！　新入りは黙って‥‥」,14
C-3（追加）,美寿花,「どっちを歌うのかで揉めてるのなら、どっちも歌えばいいじゃん。時間はあるわけだし」,39
C-3（追加）,ロズ,「‥‥‥‥」,4
C-3（追加）,ラズ,「‥‥‥‥」,4
C-3（追加）,ロズ＆ラズ,「「なるほど？」,6
C-3（追加）,ラズ,「確かに‥‥ナイスアイディアですわね」,17
C-3（追加）,ロズ,「その発想はなかったわ‥‥！！」,14
C-3（追加）,文永,「この子たち、いつもこうなんですか？」,17
C-3（追加）,美寿花,「う～ん、私が初めて会った時も喧嘩はしてたけど‥‥どうなの？」,29
C-3（追加）,美寿花,「だってさ」,4
C-3（追加）,文永,「何というか‥‥賑やかそうですね。雪翔さんの家って」,24
C-3（追加）,美寿花,「そうかな？　この子たちもそんなしょっちゅう顔を出すわけじゃないから‥‥」,34
C-3（追加）,ロズ,「じゃ、順番で言うとまずはオープニングからやな」,22
C-3（追加）,ラズ,「あら、誰がそんなこと言いましたの？　私のが先ですわ」,24
C-3（追加）,ロズ,「エンディング先に歌う奴がどこにおるん？　アニメやって最初流れるんはオープニングやろ」,40
C-3（追加）,ラズ,「いいですね。そうしましょう‥‥では、行きますわよ？　ロズ」,27
C-3（追加）,ロズ,「宣言しとくけど、うちはパーを出すから‥‥」,20
C-3（追加）,ロズ＆ラズ,「「じゃーんけーん！！」,10
C-4（追加）,美寿花,「お、おっきいため息だね‥‥」,13
C-4（追加）,美寿花,「そんなに嫌なんだ。薄谷教授が来るの」,17
C-4（追加）,美寿花,「まぁ、気持ちは分からなくもないけどね。授業参観とかと似たような感覚なのかな？」,38
C-4（追加）,美寿花,「じゃあ、頑張って大学生活ちゃんと出来てるってところ、見せないとね！」,33
C-4（追加）,黄樹,「はーい、じゃあレジュメ回してくださいー」,19
C-4（追加）,黄樹,「夏休み明け１発目ということで、例年は休む人もちらほらいましたが‥‥」,33
C-4（追加）,黄樹,「今年は‥‥全員来てるようですね、嬉しい限りです」,23
C-4（追加）,黄樹,「秋休みまであと残すところ３回なのでね、気を抜かずに‥‥」,27
C-4（追加）,黄樹,「じゃあ今日は趣向を変えてちょっと誰かに聞いてみようか、３列目右端の君」,34
C-4（追加）,美寿花,「あれま」,3
C-4（追加）,美寿花,「ねぇ、雪翔君」,6
C-4（追加）,美寿花,「とりあえず私が答えるから、雪翔君が考えた答えを教えて」,26
C-4（追加）,美寿花,「あ～、分かんないそうです！」,13
C-4（追加）,黄樹,「オッケーオッケー、じゃあこれ分かる人は‥‥」,21
C-4（追加）,美寿花,「さっきはびっくりしたね‥‥まさか当てられるとは‥‥」,25
C-4（追加）,美寿花,「雪翔君、今日はこれでおしまい？」,15
C-4（追加）,美寿花,「そうなんだよねぇ‥‥、私は5限もあるし帰りにスーパーにも寄りたいからちょっと遅くなるね」,43
C-5（追加）,文永,「あっ」,2
C-5（追加）,？？？,「文永の知り合い？」,8
C-5（追加）,文永,「‥‥えーと‥‥まぁ、うん。そうなるのかな？」,21
C-5（追加）,？？？,「えーなにそれ！　気になるじゃん〜」,15
C-5（追加）,桃百,「あたし、文永の友達の合楽桃百って言いま〜す！　よろしくお願いしますね～！」,35
C-5（追加）,桃百,「お名前聞いてもいいですか〜？　ていうか、文永とどんな関係なんですか〜？」,34
C-5（追加）,桃百,「あれ？　どうしました～？」,11
C-5（追加）,文永,「はぁ～‥‥」,5
C-5（追加）,文永,「薄谷雪翔さん、お姉ちゃんの友達」,15
C-5（追加）,桃百,「へーそうなんだ。てか文永、お姉さんなんていたんだね〜」,26
C-5（追加）,文永,「それに、今喉を痛めて喋れないから、あんまり困らせないで」,27
C-5（追加）,桃百,「えっ、そうなんですか？　ごめんなさい私分かんなくて‥‥」,26
C-5（追加）,文永,「ていうか桃百、そういうのやめてってこの前言ったじゃん。忘れたの？」,32
C-5（追加）,桃百,「え～、別にいいじゃん〜。生徒会の書記さんはお堅いなぁ～‥‥」,29
C-5（追加）,文永,「そういうの関係なく、心配だから言ってるんでしょ！」,24
C-5（追加）,桃百,「おお〜‥‥すご～い！　なんか、かわいいですね！」,22
C-5（追加）,文永,「あ、はい。ここら辺、私たちの高校の通学路なんですよ」,25
C-5（追加）,桃百,「あの～モモちょっと気になったんですけど、雪翔さんと文永のお姉さんの関係って‥‥」,39
C-5（追加）,文永,「はいはい変な探り入れない。喫茶店行くんじゃなかったの？」,27
C-5（追加）,桃百,「はっ！　そうだった！　早く行かないと限定パンケーキ売り切れちゃう！！」,32
C-5（追加）,文永,「すいません、こんな所で呼び止めてしまって。あと、その‥‥」,28
C-5（追加）,文永,「お姉ちゃんのこと、引き続きよろしくお願いします」,23
C-5（追加）,ロズ,「マスター、えらいデレデレしとったな～」,18
C-5（追加）,ラズ,「ご主人様はああいう子が好みなんですの？」,19
C-5（追加）,ロズ,「ほんまかなぁ‥‥その割には嫌がってなさそうやったけど」,26
C-5（追加）,ラズ,「まぁ、そういう事にしておきましょうか」,18
C-6（追加）,ラズ,「その前に、一旦休まれてはいかがです？」,18
C-6（追加）,ラズ,「ですが、その様子では恐らくまともに作業できずに、結局うたた寝してしまう可能性が高いかと」,43
C-6（追加）,ラズ,「目覚ましかけておきましょうか？」,15
C-6（追加）,美寿花,「雪翔くーん、夕飯できたけど‥‥」,15
C-6（追加）,美寿花,「雪翔くーん？」,6
C-6（追加）,美寿花,「入るよ～？」,5
C-6（追加）,美寿花,「って、寝てる？　というか‥‥」,13
C-6（追加）,美寿花,「あ、ごめん。起こしちゃったね‥‥ただいま」,20
C-6（追加）,美寿花,「最近、頑張ってたもんね〜。よしよし」,17
C-6（追加）,美寿花,「で、ちょっと気になってたんだけど‥‥」,18
C-6（追加）,美寿花,「雪翔君、いつもぬいぐるみ抱いて寝てるの？」,20
C-6（追加）,美寿花,「うわっ！！　びっくりした‥‥」,13
C-6（追加）,美寿花,「だってこうしないと雪翔君の声聞こえないし」,20
C-6（追加）,美寿花,「そういえば、いつも置いてあったよね。イルカのぬいぐるみ」,27
C-6（追加）,美寿花,「‥‥そうなの？」,7
C-6（追加）,ロズ,「いやマスター、ほぼ毎日抱いて寝てるで？」,19
C-6（追加）,美寿花,「ん？　え？」,4
C-6（追加）,美寿花,「ま、まぁまぁ‥‥でも、別にいいんじゃない？」,21
C-6（追加）,美寿花,「変ではないと思うよ？　私だって最近までぬいぐるみと寝てたし。あ、もしかして男の子なのに～とか考えてる？　それは関係ないと思うけどな～」,64
C-6（追加）,美寿花,「何より、可愛いしね～この子」,13
C-6（追加）,美寿花,「あ、そうだ。夕飯なんだけど‥‥ちょっと手伝ってくれない？　今日作るの、一人でやると大変で‥‥」,45
D-1（追加修正）,美寿花,「どうぞどうぞ～」,7
D-1（追加修正）,ラズ,「お食事中、申し訳ないのですが‥‥」,16
D-1（追加修正）,ラズ,「その、雨が降り出しまして‥‥」,14
D-1（追加修正）,ロズ,「天気予報では今日は晴れやって言うとったんやけどな～」,25
D-1（追加修正）,ロズ,「ちなみにマスター、傘とか持ってきたりは‥‥」,21
